year,mwh_generated,energy_revenue,capacity_revenue,total_revenue,fuel_cost,variable_om,fixed_om,carbon_cost,total_operating_cost,ebitda,depreciation,ebit,taxes,net_income,operating_cash_flow,interest_expense,fcff,discount_factor,pv_fcff
1,6447360.0,386841600.0,120000000,506841600.0,46936780.8,12894720.0,40000000.0,0.0,99831500.8,407010099.2,600000000.0,-192989900.8,0.0,-192989900.8,407010099.2,144000000.0,263010099.2,0.9286775631500743,244251578.0089153
2,6447360.0,386841600.0,120000000,506841600.0,46936780.8,13281561.6,41200000.0,0.0,101418342.4,405423257.6,960000000.0,-554576742.4,0.0,-554576742.4,405423257.6,144000000.0,261423257.60000002,0.8624420162983603,225462401.39182964
3,6447360.0,386841600.0,120000000,506841600.0,46936780.8,13680008.447999999,42436000.0,0.0,103052789.248,403788810.752,576000000.0,-172211189.24800003,0.0,-172211189.24800003,403788810.752,144000000.0,259788810.75199997,0.8009305500541979,208072795.09352526
4,6447360.0,386841600.0,120000000,506841600.0,46936780.8,14090408.70144,43709080.0,0.0,104736269.50143999,402105330.49856,345600000.0,56505330.49856001,22602132.199424006,33903198.299136005,379503198.299136,144000000.0,235503198.29913598,0.7438062314767812,175168746.42760944
5,6447360.0,386841600.0,120000000,506841600.0,46936780.8,14513120.962483201,45020352.400000006,0.0,106470254.1624832,400371345.8375168,345600000.0,54771345.837516785,21908538.335006714,32862807.50251007,378462807.5025101,144000000.0,234462807.50251007,0.6907561585036972,161956628.2224257
6,6447360.0,386841600.0,120000000,506841600.0,46936780.8,14948514.591357697,46370962.972,0.0,108256258.3633577,398585341.63664234,172800000.0,225785341.63664234,90314136.65465695,135471204.9819854,308271204.9819854,144000000.0,164271204.9819854,0.64148974601012,105378293.56067017
7,6447360.0,386841600.0,120000000,506841600.0,46936780.8,15396970.029098429,47762091.86116,0.0,110095842.69025843,396745757.30974156,0.0,396745757.30974156,158698302.92389664,238047454.38584492,238047454.38584492,144000000.0,94047454.38584492,0.5957371341104384,56027560.94620543
8,6447360.0,386841600.0,120000000,506841600.0,46936780.8,15858879.129971383,49194954.616994806,0.0,111990614.5469662,394850985.4530338,0.0,394850985.4530338,157940394.18121353,236910591.27182028,236910591.27182028,144000000.0,92910591.27182028,0.5532477099836909,51402571.85436527
9,6447360.0,386841600.0,120000000,506841600.0,46936780.8,16334645.503870524,50670803.25550465,0.0,113942229.55937517,392899370.44062483,0.0,392899370.44062483,157159748.17624995,235739622.26437488,235739622.26437488,144000000.0,91739622.26437488,0.5137887351260131,47134784.4841514
10,6447360.0,386841600.0,120000000,506841600.0,46936780.8,16824684.86898664,52190927.3531698,0.0,115952393.02215643,390889206.9778436,0.0,390889206.9778436,156355682.79113743,234533524.18670616,234533524.18670616,144000000.0,90533524.18670616,0.47714407051078483,43197534.248131566
11,6447360.0,386841600.0,120000000,506841600.0,46936780.8,17329425.41505624,53756655.17376489,0.0,118022861.38882113,388818738.6111789,0.0,388818738.6111789,155527495.44447157,233291243.1667073,233291243.1667073,144000000.0,89291243.1667073,0.4431129926734628,39566109.97913356
12,6447360.0,386841600.0,120000000,506841600.0,46936780.8,17849308.177507926,55369354.82897784,0.0,120155443.80648576,386686156.1935142,0.0,386686156.1935142,154674462.4774057,232011693.71610853,232011693.71610853,144000000.0,88011693.71610853,0.41150909423612825,36217612.36330336
13,6447360.0,386841600.0,120000000,506841600.0,46936780.8,18384787.422833163,57030435.47384717,0.0,122352003.69668034,384489596.3033197,0.0,384489596.3033197,153795838.52132788,230693757.7819918,230693757.7819918,144000000.0,86693757.78199181,0.38215926284930185,33130822.567601915
14,6447360.0,386841600.0,120000000,506841600.0,46936780.8,18936331.04551816,58741348.538062595,0.0,124614460.38358074,382227139.61641926,0.0,382227139.61641926,152890855.84656772,229336283.76985154,229336283.76985154,144000000.0,85336283.76985154,0.3549027329581184,30286080.330409836
15,6447360.0,386841600.0,120000000,506841600.0,46936780.8,19504420.97688371,60503588.99420448,0.0,126944790.77108818,379896809.2289118,0.0,379896809.2289118,151958723.69156474,227938085.53734708,227938085.53734708,144000000.0,83938085.53734708,0.3295902051988469,27665170.83625259
16,6447360.0,386841600.0,120000000,506841600.0,46936780.8,20089553.60619022,62318696.664030604,0.0,129345031.07022083,377496568.9297792,0.0,377496568.9297792,150998627.57191166,226497941.3578675,226497941.3578675,144000000.0,82497941.35786751,0.30608302860219816,25251219.74426263
17,6447360.0,386841600.0,120000000,506841600.0,46936780.8,20692240.214375924,64188257.56395153,0.0,131817278.57832745,375024321.4216726,0.0,375024321.4216726,150009728.56866905,225014592.85300353,225014592.85300353,144000000.0,81014592.85300353,0.28425244112388387,23028595.78512381
