year,mwh_generated,energy_revenue,capacity_revenue,total_revenue,fuel_cost,variable_om,fixed_om,carbon_cost,total_operating_cost,ebitda,depreciation,ebit,taxes,net_income,operating_cash_flow,interest_expense,fcff,discount_factor,pv_fcff
1,3372600.0,185493000.0,55000000,240493000.0,77780587.5,9274650.0,7975000.0,24282719.999999996,119312957.5,121180042.5,137500000.0,-16319957.5,0.0,-16319957.5,121180042.5,33000000.0,88180042.5,0.9286775631500743,81890826.98736998
2,3372600.0,185493000.0,55000000,240493000.0,77780587.5,9552889.5,8214250.0,24282719.999999996,119830447.0,120662553.0,220000000.0,-99337447.0,0.0,-99337447.0,120662553.0,33000000.0,87662553.0,0.8624420162983603,75603868.96318187
3,3372600.0,185493000.0,55000000,240493000.0,77780587.5,9839476.184999999,8460677.5,24282719.999999996,120363461.185,120129538.815,132000000.0,-11870461.185000002,0.0,-11870461.185000002,120129538.815,33000000.0,87129538.815,0.8009305500541979,69784709.44906653
4,3372600.0,185493000.0,55000000,240493000.0,77780587.5,10134660.47055,8714497.825,24282719.999999996,120912465.79555,119580534.20445,79200000.0,40380534.20445,16152213.68178,24228320.522669997,103428320.52267,33000000.0,70428320.52267,0.7438062314767812,52385023.67720602
5,3372600.0,185493000.0,55000000,240493000.0,77780587.5,10438700.284666501,8975932.759750001,24282719.999999996,121477940.54441652,119015059.45558348,79200000.0,39815059.45558348,15926023.782233395,23889035.67335009,103089035.6733501,33000000.0,70089035.6733501,0.6907561585036972,48414433.0349519
6,3372600.0,185493000.0,55000000,240493000.0,77780587.5,10751861.293206496,9245210.7425425,24282719.999999996,122060379.535749,118432620.464251,39600000.0,78832620.464251,31533048.1857004,47299572.278550595,86899572.2785506,33000000.0,53899572.278550595,0.64148974601012,34576022.93102153
7,3372600.0,185493000.0,55000000,240493000.0,77780587.5,11074417.13200269,9522567.064818775,24282719.999999996,122660291.69682147,117832708.30317853,0.0,117832708.30317853,47133083.32127142,70699624.98190711,70699624.98190711,33000000.0,37699624.981907114,0.5957371341104384,22459066.543759633
8,3372600.0,185493000.0,55000000,240493000.0,77780587.5,11406649.645962773,9808244.07676334,24282719.999999996,123278201.2227261,117214798.7772739,0.0,117214798.7772739,46885919.51090956,70328879.26636434,70328879.26636434,33000000.0,37328879.266364336,0.5532477099836909,20652116.970373746
9,3372600.0,185493000.0,55000000,240493000.0,77780587.5,11748849.135341655,10102491.399066241,24282719.999999996,123914648.0344079,116578351.9655921,0.0,116578351.9655921,46631340.786236845,69947011.17935526,69947011.17935526,33000000.0,36947011.17935526,0.5137887351260131,18982958.140527606
10,3372600.0,185493000.0,55000000,240493000.0,77780587.5,12101314.609401906,10405566.141038228,24282719.999999996,124570188.25044014,115922811.74955986,0.0,115922811.74955986,46369124.699823946,69553687.04973592,69553687.04973592,33000000.0,36553687.04973592,0.47714407051078483,17441375.031088356
11,3372600.0,185493000.0,55000000,240493000.0,77780587.5,12464354.047683964,10717733.125269374,24282719.999999996,125245394.67295334,115247605.32704666,0.0,115247605.32704666,46099042.130818665,69148563.196228,69148563.196228,33000000.0,36148563.196228,0.4431129926734628,16017898.018726384
12,3372600.0,185493000.0,55000000,240493000.0,77780587.5,12838284.669114482,11039265.119027456,24282719.999999996,125940857.28814194,114552142.71185806,0.0,114552142.71185806,45820857.08474323,68731285.62711483,68731285.62711483,33000000.0,35731285.62711483,0.41150909423612825,14703748.984306412
13,3372600.0,185493000.0,55000000,240493000.0,77780587.5,13223433.209187917,11370443.07259828,24282719.999999996,126657183.7817862,113835816.2182138,0.0,113835816.2182138,45534326.487285525,68301489.73092827,68301489.73092827,33000000.0,35301489.73092827,0.38215926284930185,13490791.293053748
14,3372600.0,185493000.0,55000000,240493000.0,77780587.5,13620136.205463555,11711556.36477623,24282719.999999996,127395000.07023978,113097999.92976022,0.0,113097999.92976022,45239199.97190409,67858799.95785612,67858799.95785612,33000000.0,34858799.95785612,0.3549027329581184,12371483.37268348
15,3372600.0,185493000.0,55000000,240493000.0,77780587.5,14028740.291627463,12062903.055719517,24282719.999999996,128154950.84734699,112338049.15265301,0.0,112338049.15265301,44935219.661061205,67402829.49159181,67402829.49159181,33000000.0,34402829.49159181,0.3295902051988469,11338835.631554687
16,3372600.0,185493000.0,55000000,240493000.0,77780587.5,14449602.500376286,12424790.147391101,24282719.999999996,128937700.14776738,111555299.85223262,0.0,111555299.85223262,44622119.940893054,66933179.911339566,66933179.911339566,33000000.0,33933179.911339566,0.30608302860219816,10386370.477366084
17,3372600.0,185493000.0,55000000,240493000.0,77780587.5,14883090.575387577,12797533.851812836,24282719.999999996,129743931.92720042,110749068.07279958,0.0,110749068.07279958,44299627.22911984,66449440.84367974,66449440.84367974,33000000.0,33449440.84367974,0.28425244112388387,9508085.214044912
18,3372600.0,185493000.0,55000000,240493000.0,77780587.5,15329583.292649202,13181459.867367221,24282719.999999996,130574350.66001643,109918649.33998357,0.0,109918649.33998357,43967459.73599343,65951189.60399014,65951189.60399014,33000000.0,32951189.603990138,0.26397886434238843,8698417.610392032
19,3372600.0,185493000.0,55000000,240493000.0,77780587.5,15789470.791428681,13576903.66338824,24282719.999999996,131429681.95481692,109063318.04518308,0.0,109063318.04518308,43625327.218073234,65437990.82710984,65437990.82710984,33000000.0,32437990.827109843,0.24515124846061334,7952213.948819902
20,3372600.0,185493000.0,55000000,240493000.0,77780587.5,16263154.915171541,13984210.773289885,24282719.999999996,132310673.18846142,108182326.81153858,0.0,108182326.81153858,43272930.72461543,64909396.086923145,64909396.086923145,33000000.0,31909396.086923145,0.2276664640236008,7264699.376238316
