year,mwh_generated,energy_revenue,capacity_revenue,total_revenue,fuel_cost,variable_om,fixed_om,carbon_cost,total_operating_cost,ebitda,depreciation,ebit,taxes,net_income,operating_cash_flow,interest_expense,fcff,discount_factor,pv_fcff
1,2890800.0,158994000.0,55000000,213994000.0,70463249.99999999,2890800.0,5500000.0,25294500.0,104148549.99999999,109845450.00000001,90000000.0,19845450.000000015,7938180.0000000065,11907270.000000007,101907270.0,21600000.0,80307270.0,0.9286775631500743,74579559.80683507
2,2890800.0,158994000.0,55000000,213994000.0,70463249.99999999,2977524.0,5665000.0,25294500.0,104400273.99999999,109593726.00000001,144000000.0,-34406273.999999985,0.0,-34406273.999999985,109593726.00000001,21600000.0,87993726.00000001,0.8624420162983603,75889486.47304545
3,2890800.0,158994000.0,55000000,213994000.0,70463249.99999999,3066849.7199999997,5834950.0,25294500.0,104659549.71999998,109334450.28000002,86400000.0,22934450.280000016,9173780.112000007,13760670.168000009,100160670.16800001,21600000.0,78560670.16800001,0.8009305500541979,62921640.77028266
4,2890800.0,158994000.0,55000000,213994000.0,70463249.99999999,3158855.2116,6009998.5,25294500.0,104926603.71159999,109067396.28840001,51840000.0,57227396.28840001,22890958.515360005,34336437.773040004,86176437.77304,21600000.0,64576437.77304,0.7438062314767812,48032356.822159745
5,2890800.0,158994000.0,55000000,213994000.0,70463249.99999999,3253620.8679480003,6190298.455000001,25294500.0,105201669.32294798,108792330.67705202,51840000.0,56952330.67705202,22780932.27082081,34171398.40623121,86011398.40623121,21600000.0,64411398.40623121,0.6907561585036972,44492570.12693944
6,2890800.0,158994000.0,55000000,213994000.0,70463249.99999999,3351229.4939864404,6376007.408650001,25294500.0,105484986.90263642,108509013.09736358,25920000.0,82589013.09736358,33035605.238945432,49553407.858418144,75473407.85841814,21600000.0,53873407.85841814,0.64148974601012,34559238.723796256
7,2890800.0,158994000.0,55000000,213994000.0,70463249.99999999,3451766.3788060336,6567287.630909501,25294500.0,105776804.00971553,108217195.99028447,0.0,108217195.99028447,43286878.39611379,64930317.59417068,64930317.59417068,21600000.0,43330317.59417068,0.5957371341104384,25813479.223646346
8,2890800.0,158994000.0,55000000,213994000.0,70463249.99999999,3555319.3701702147,6764306.259836786,25294500.0,106077375.630007,107916624.369993,0.0,107916624.369993,43166649.7479972,64749974.6219958,64749974.6219958,21600000.0,43149974.6219958,0.5532477099836909,23872624.645473555
9,2890800.0,158994000.0,55000000,213994000.0,70463249.99999999,3661978.951275321,6967235.44763189,25294500.0,106386964.3989072,107607035.6010928,0.0,107607035.6010928,43042814.24043712,64564221.36065568,64564221.36065568,21600000.0,42964221.36065568,0.5137887351260131,22074532.948565315
10,2890800.0,158994000.0,55000000,213994000.0,70463249.99999999,3771838.319813581,7176252.511060847,25294500.0,106705840.83087441,107288159.16912559,0.0,107288159.16912559,42915263.66765024,64372895.50147535,64372895.50147535,21600000.0,42772895.50147535,0.47714407051078483,20408833.467106387
11,2890800.0,158994000.0,55000000,213994000.0,70463249.99999999,3884993.4694079887,7391540.086392672,25294500.0,107034283.55580065,106959716.44419935,0.0,106959716.44419935,42783886.577679746,64175829.86651961,64175829.86651961,21600000.0,42575829.86651961,0.4431129926734628,18865903.387709703
12,2890800.0,158994000.0,55000000,213994000.0,70463249.99999999,4001543.273490228,7613286.288984452,25294500.0,107372579.56247467,106621420.43752533,0.0,106621420.43752533,42648568.17501014,63972852.262515195,63972852.262515195,21600000.0,42372852.262515195,0.41150909423612825,17436814.054748904
13,2890800.0,158994000.0,55000000,213994000.0,70463249.99999999,4121589.571694935,7841684.877653986,25294500.0,107721024.44934891,106272975.55065109,0.0,106272975.55065109,42509190.22026044,63763785.33039065,63763785.33039065,21600000.0,42163785.33039065,0.38215926284930185,16113281.120798297
14,2890800.0,158994000.0,55000000,213994000.0,70463249.99999999,4245237.258845784,8076935.4239836065,25294500.0,108079922.68282938,105914077.31717062,0.0,105914077.31717062,42365630.92686825,63548446.39030237,63548446.39030237,21600000.0,41948446.39030237,0.3549027329581184,14887618.267265428
15,2890800.0,158994000.0,55000000,213994000.0,70463249.99999999,4372594.376611157,8319243.4867031155,25294500.0,108449587.86331426,105544412.13668574,0.0,105544412.13668574,42217764.8546743,63326647.28201144,63326647.28201144,21600000.0,41726647.28201144,0.3295902051988469,13752694.239938058
