    INFO: 2026-02-18 13:20:48,867:               log.py:   20: Logging to C:\Users\hoang\NAPE\mdpdf.log
   DEBUG: 2026-02-18 13:20:48,867:               cli.py:  103: Analysis/CASE_TWIST_SPEAKER_SCRIPT.md
    INFO: 2026-02-18 13:20:48,868:         converter.py:   14: Analysis/CASE_TWIST_SPEAKER_SCRIPT.md
   DEBUG: 2026-02-18 13:20:48,939:      pdf_renderer.py:  470: printSegment: CASE TWIST — DETAILED SPEAKER SCRIPT
   DEBUG: 2026-02-18 13:20:48,974:      pdf_renderer.py:  470: printSegment: Strategic Response to Dissident Investor Threat
   DEBUG: 2026-02-18 13:20:48,977:      pdf_renderer.py:  470: printSegment: SMU/NAPE Energy Innovation Case Competition — Final Round
   DEBUG: 2026-02-18 13:20:48,979:      pdf_renderer.py:  470: printSegment: Team: Anh Bui, Minh Nguyen, Cuong Nguyen
   DEBUG: 2026-02-18 13:20:48,982:      pdf_renderer.py:  470: printSegment: How to use this script:
   DEBUG: 2026-02-18 13:20:48,987:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-18 13:20:48,990:      pdf_renderer.py:  470: printSegment: Read out loud before presenting until it feels natural
   DEBUG: 2026-02-18 13:20:48,994:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-18 13:20:48,996:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2026-02-18 13:20:48,998:      pdf_renderer.py:  470: printSegment: Brackets
   DEBUG: 2026-02-18 13:20:48,999:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2026-02-18 13:20:49,001:      pdf_renderer.py:  470: printSegment:  = stage directions — do NOT read aloud
   DEBUG: 2026-02-18 13:20:49,023:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-18 13:20:49,024:      pdf_renderer.py:  470: printSegment: Bold
   DEBUG: 2026-02-18 13:20:49,026:      pdf_renderer.py:  470: printSegment:  = key points to emphasize
   DEBUG: 2026-02-18 13:20:49,027:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-18 13:20:49,029:      pdf_renderer.py:  470: printSegment: Aim for ~15 minutes total: roughly 1-1.5 minutes per slide
   DEBUG: 2026-02-18 13:20:49,032:      pdf_renderer.py:  470: printSegment: SLIDE 1 — TITLE SLIDE
   DEBUG: 2026-02-18 13:20:49,034:      pdf_renderer.py:  470: printSegment: Speaker: Anh Bui
